"filename", "language", "GDResource", "GDScript", "GDScene", "gdshader", "Python", "XML", "comment", "blank", "total"
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Light\texture_01.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Light\texture_02.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Light\texture_03.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Light\texture_04.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Light\texture_05.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Light\texture_06.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Light\texture_07.png.import", "GDResource", 36, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Light\texture_08.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Light\texture_09.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Light\texture_10.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Light\texture_11.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Light\texture_12.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Light\texture_13.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Orange\texture_01.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Orange\texture_02.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Orange\texture_03.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Orange\texture_04.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Orange\texture_05.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sharm\OneDrive\Desktop\soul-realm--trail-of-rebirth\assets\textures\kenney_grids\Orange\texture_06.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 6, 41
